julian,date
2453726.0,1b421.bC0
2453726.5,1b421.bC1
2453727.0,1b421.bC1
2453727.5,1b421.bC2
2453728.0,1b421.bC2
2453728.5,1b421.bC3
2453729.0,1b421.bC3
2453729.5,1b421.bC4
2453730.0,1b421.bC4
2453730.5,1b421.bC5
2453731.0,1b421.bC5
2453731.5,1b421.bC6
2453732.0,1b421.bC6
2453732.5,1b421.bC7
2453733.0,1b421.bC7
2453733.5,1b421.bBb7
2453734.0,1b421.bBb7
2453734.5,1b421.bBb6
2453735.0,1b421.bBb6
2453735.5,1b421.bBb5
2453736.0,1b421.bBb5
2453736.5,1b421.bBb4
2453737.0,1b421.bBb4
2453737.5,1b421.bBb3
2453738.0,1b421.bBb3
2453738.5,1b421.bBb2
2453739.0,1b421.bBb2
2453739.5,1b421.bBb1
2453740.0,1b421.bBb1
2453740.5,1b421.bBb0
2453741.0,1b421.bB0
2453741.5,1b421.bB1
2453742.0,1b421.bB1
2453742.5,1b421.bB2
2453743.0,1b421.bB2
2453743.5,1b421.bB3
2453744.0,1b421.bB3
2453744.5,1b421.bB4
2453745.0,1b421.bB4
2453745.5,1b421.bB5
2453746.0,1b421.bB5
2453746.5,1b421.bB6
2453747.0,1b421.bB6
2453747.5,1b421.bB7
2453748.0,1b421.bB7
2453748.5,1b421.bAb7
2453749.0,1b421.bAb7
2453749.5,1b421.bAb6
2453750.0,1b421.bAb6
2453750.5,1b421.bAb5
2453751.0,1b421.bAb5
2453751.5,1b421.bAb4
2453752.0,1b421.bAb4
2453752.5,1b421.bAb3
2453753.0,1b421.bAb3
2453753.5,1b421.bAb2
2453754.0,1b421.bAb2
2453754.5,1b421.bAb1
2453755.0,1b421.bAb1
2453755.5,1b421.bAb0
2453756.0,1b421.bA0
2453756.5,1b421.bA1
2453757.0,1b421.bA1
2453757.5,1b421.bA2
2453758.0,1b421.bA2
2453758.5,1b421.bA3
2453759.0,1b421.bA3
2453759.5,1b421.bA4
2453760.0,1b421.bA4
2453760.5,1b421.bA5
2453761.0,1b421.bA5
2453761.5,1b421.bA6
2453762.0,1b421.bA6
2453762.5,1b421.bA7
2453763.0,1b421.b9b7
2453763.5,1b421.b9b6
2453764.0,1b421.b9b6
2453764.5,1b421.b9b5
2453765.0,1b421.b9b5
2453765.5,1b421.b9b4
2453766.0,1b421.b9b4
2453766.5,1b421.b9b3
2453767.0,1b421.b9b3
2453767.5,1b421.b9b2
2453768.0,1b421.b9b2
2453768.5,1b421.b9b1
2453769.0,1b421.b9b1
2453769.5,1b421.b9b0
2453770.0,1b421.b90
2453770.5,1b421.b91
2453771.0,1b421.b91
2453771.5,1b421.b92
2453772.0,1b421.b92
2453772.5,1b421.b93
2453773.0,1b421.b93
2453773.5,1b421.b94
2453774.0,1b421.b94
2453774.5,1b421.b95
2453775.0,1b421.b95
2453775.5,1b421.b96
2453776.0,1b421.b96
2453776.5,1b421.b97
2453777.0,1b421.b97
2453777.5,1b421.b8b7
2453778.0,1b421.b8b7
2453778.5,1b421.b8b6
2453779.0,1b421.b8b6
2453779.5,1b421.b8b5
2453780.0,1b421.b8b5
2453780.5,1b421.b8b4
2453781.0,1b421.b8b4
2453781.5,1b421.b8b3
2453782.0,1b421.b8b3
2453782.5,1b421.b8b2
2453783.0,1b421.b8b2
2453783.5,1b421.b8b1
2453784.0,1b421.b8b1
2453784.5,1b421.b8b0
2453785.0,1b421.b80
2453785.5,1b421.b81
2453786.0,1b421.b81
2453786.5,1b421.b82
2453787.0,1b421.b82
2453787.5,1b421.b83
2453788.0,1b421.b83
2453788.5,1b421.b84
2453789.0,1b421.b84
2453789.5,1b421.b85
2453790.0,1b421.b85
2453790.5,1b421.b86
2453791.0,1b421.b86
2453791.5,1b421.b87
2453792.0,1b421.b87
2453792.5,1b421.b7b7
2453793.0,1b421.b7b7
2453793.5,1b421.b7b6
2453794.0,1b421.b7b6
2453794.5,1b421.b7b5
2453795.0,1b421.b7b5
2453795.5,1b421.b7b4
2453796.0,1b421.b7b4
2453796.5,1b421.b7b3
2453797.0,1b421.b7b3
2453797.5,1b421.b7b2
2453798.0,1b421.b7b2
2453798.5,1b421.b7b1
2453799.0,1b421.b7b1
2453799.5,1b421.b7b0
2453800.0,1b421.b70
2453800.5,1b421.b71
2453801.0,1b421.b71
2453801.5,1b421.b72
2453802.0,1b421.b72
2453802.5,1b421.b73
2453803.0,1b421.b73
2453803.5,1b421.b74
2453804.0,1b421.b74
2453804.5,1b421.b75
2453805.0,1b421.b75
2453805.5,1b421.b76
2453806.0,1b421.b76
2453806.5,1b421.b77
2453807.0,1b421.b77
2453807.5,1b421.b6b7
2453808.0,1b421.b6b7
2453808.5,1b421.b6b6
2453809.0,1b421.b6b6
2453809.5,1b421.b6b5
2453810.0,1b421.b6b5
2453810.5,1b421.b6b4
2453811.0,1b421.b6b4
2453811.5,1b421.b6b3
2453812.0,1b421.b6b3
2453812.5,1b421.b6b2
2453813.0,1b421.b6b2
2453813.5,1b421.b6b1
2453814.0,1b421.b6b1
2453814.5,1b421.b6b0
2453815.0,1b421.b60
2453815.5,1b421.b61
2453816.0,1b421.b61
2453816.5,1b421.b62
2453817.0,1b421.b62
2453817.5,1b421.b63
2453818.0,1b421.b63
2453818.5,1b421.b64
2453819.0,1b421.b64
2453819.5,1b421.b65
2453820.0,1b421.b65
2453820.5,1b421.b66
2453821.0,1b421.b66
2453821.5,1b421.b67
2453822.0,1b421.b67
2453822.5,1b421.b5b7
2453823.0,1b421.b5b7
2453823.5,1b421.b5b6
2453824.0,1b421.b5b6
2453824.5,1b421.b5b5
2453825.0,1b421.b5b5
2453825.5,1b421.b5b4
2453826.0,1b421.b5b4
2453826.5,1b421.b5b3
2453827.0,1b421.b5b3
2453827.5,1b421.b5b2
2453828.0,1b421.b5b2
2453828.5,1b421.b5b1
2453829.0,1b421.b5b1
2453829.5,1b421.b5b0
2453830.0,1b421.b50
2453830.5,1b421.b51
2453831.0,1b421.b51
2453831.5,1b421.b52
2453832.0,1b421.b52
2453832.5,1b421.b53
2453833.0,1b421.b53
2453833.5,1b421.b54
2453834.0,1b421.b54
2453834.5,1b421.b55
2453835.0,1b421.b55
2453835.5,1b421.b56
2453836.0,1b421.b56
2453836.5,1b421.b57
2453837.0,1b421.b57
2453837.5,1b421.b58
2453838.0,1b421.b4b8
2453838.5,1b421.b4b7
2453839.0,1b421.b4b7
2453839.5,1b421.b4b6
2453840.0,1b421.b4b6
2453840.5,1b421.b4b5
2453841.0,1b421.b4b5
2453841.5,1b421.b4b4
2453842.0,1b421.b4b4
2453842.5,1b421.b4b3
2453843.0,1b421.b4b3
2453843.5,1b421.b4b2
2453844.0,1b421.b4b2
2453844.5,1b421.b4b1
2453845.0,1b421.b4b1
2453845.5,1b421.b4b0
2453846.0,1b421.b40
2453846.5,1b421.b41
2453847.0,1b421.b41
2453847.5,1b421.b42
2453848.0,1b421.b42
2453848.5,1b421.b43
2453849.0,1b421.b43
2453849.5,1b421.b44
2453850.0,1b421.b44
2453850.5,1b421.b45
2453851.0,1b421.b45
2453851.5,1b421.b46
2453852.0,1b421.b46
2453852.5,1b421.b47
2453853.0,1b421.b47
2453853.5,1b421.b3b7
2453854.0,1b421.b3b7
2453854.5,1b421.b3b6
2453855.0,1b421.b3b6
2453855.5,1b421.b3b5
2453856.0,1b421.b3b5
2453856.5,1b421.b3b4
2453857.0,1b421.b3b4
2453857.5,1b421.b3b3
2453858.0,1b421.b3b3
2453858.5,1b421.b3b2
2453859.0,1b421.b3b2
2453859.5,1b421.b3b1
2453860.0,1b421.b3b1
2453860.5,1b421.b3b0
2453861.0,1b421.b30
2453861.5,1b421.b31
2453862.0,1b421.b31
2453862.5,1b421.b32
2453863.0,1b421.b32
2453863.5,1b421.b33
2453864.0,1b421.b33
2453864.5,1b421.b34
2453865.0,1b421.b34
2453865.5,1b421.b35
2453866.0,1b421.b35
2453866.5,1b421.b36
2453867.0,1b421.b36
2453867.5,1b421.b37
2453868.0,1b421.b37
2453868.5,1b421.b38
2453869.0,1b421.b2b8
2453869.5,1b421.b2b7
2453870.0,1b421.b2b7
2453870.5,1b421.b2b6
2453871.0,1b421.b2b6
2453871.5,1b421.b2b5
2453872.0,1b421.b2b5
2453872.5,1b421.b2b4
2453873.0,1b421.b2b4
2453873.5,1b421.b2b3
2453874.0,1b421.b2b3
2453874.5,1b421.b2b2
2453875.0,1b421.b2b2
2453875.5,1b421.b2b1
2453876.0,1b421.b2b1
2453876.5,1b421.b2b0
2453877.0,1b421.b20
2453877.5,1b421.b21
2453878.0,1b421.b21
2453878.5,1b421.b22
2453879.0,1b421.b22
2453879.5,1b421.b23
2453880.0,1b421.b23
2453880.5,1b421.b24
